Location,SampleName,Species,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.D,B.D,C.D,AllSyms,propD,logPropD,Dominant,background,Reef,Latitude,Longitude
Fisher Island Outside,FI44,Pcli,RK_NSF_Sym_FI_3.csv,NaN,23.881696701049805,NaN,36.88153839111328,NA,0.062048253202950106,NA,NA,0,2,0,1,0.06748215462542059,24573.303372206636,1.751791200347619e-4,B,0,-7,B,,None,25 45.382166 N,80 8.162833 W
Fisher Island Outside,FI45,Mcav,RK_NSF_Sym_FI_2.csv,NaN,NaN,26.35237392425537,35.85647964477539,NA,NA,0.05578084824198612,0.1285633979984788,0,0,2,2,0.06748215462542059,0.011346729480177016,94.71403145701672,Cd,0.010447788947737305,-1.980975609016825,C,D,None,25 45.382166 N,80 8.162833 W
Fisher Island Outside,FI46,Pstr,RK_NSF_Sym_FI_3.csv,NaN,NaN,35.23285278320313,26.74748134613037,NA,NA,NA,0.27110876010935564,0,0,1,2,0.06748215462542059,0.011346729480177016,3.6395030845798055e-4,D,1,0,D,,None,25 45.382166 N,80 8.162833 W
Fisher Island Seawall,FI47,Ofav,RK_NSF_Sym_FI_3.csv,NaN,NaN,NaN,30.778413772583008,NA,NA,NA,0.040806241553459514,0,0,0,2,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,D,1,0,D,,None,25 45.516 N,80 8.6285 W
Fisher Island Outside,FI48,Pcli,RK_NSF_Sym_FI_3.csv,NaN,27.838682174682617,NaN,36.55831336975098,NA,0.544402412845516,NA,0.5715760033670358,0,2,0,2,0.06748215462542059,1264.7124550373237,1.751791200347619e-4,Bd,7.900688628133249e-4,-3.1023350537267054,B,D,None,25 45.382166 N,80 8.162833 W
Fisher Island Seawall,FI49,Past,RK_NSF_Sym_FI_3.csv,28.696797241210938,33.82805252075195,NaN,36.15985679626465,0.055908974661459235,NA,NA,0.9652720755308135,2,1,0,2,529.3294292315101,15.103036976314737,1.751791200347619e-4,Ad,0.001885620417952442,-2.7245457278129286,A,D,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI5,Ssid,RK_NSF_FI_1.csv,NaN,NaN,NaN,28.744525909423828,NA,NA,NA,0.15303419541869198,0,0,0,2,0.06748215462542059,0.011346729480177016,1.751791200347619e-4,D,1,0,D,,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI50,Ssid,RK_NSF_Sym_FI_3.csv,NaN,33.74030303955078,NaN,28.317882537841797,NA,NA,NA,0.007277580626073094,0,1,0,2,0.06748215462542059,0.06995359440095916,1.751791200347619e-4,D,1,0,D,,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI51,Pcli,RK_NSF_Sym_FI_3.csv,NaN,26.23264217376709,NaN,35.572879791259766,NA,0.0022860450632308923,NA,NA,0,2,0,1,0.06748215462542059,1944.5223723737452,1.751791200347619e-4,B,0,-7,B,,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI52,Pstr,RK_NSF_Sym_FI_3.csv,NaN,27.84481430053711,34.37154754638672,32.89933204650879,NA,0.18386545804138116,NA,0.6143783196659712,0,2,1,2,0.06748215462542059,99.69714228111287,0.04701239680803316,Bd,0.00993076841454282,-2.0030171457358024,B,D,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI53,Pcli,RK_NSF_Sym_FI_3.csv,NaN,26.210383415222168,NaN,35.8871955871582,NA,0.26610778365244697,NA,NA,0,2,0,1,0.06748215462542059,2455.4550082229166,1.751791200347619e-4,B,0,-7,B,,None,25 45.516 N,80 8.6285 W
Fisher Island Seawall,FI54,Ofav,RK_NSF_Sym_FI_3.csv,NaN,33.67235565185547,NaN,28.76677131652832,NA,NA,NA,0.07372529046398436,0,1,0,2,0.06748215462542059,0.10009058406571639,1.751791200347619e-4,D,1,0,D,,None,25 45.516 N,80 8.6285 W
Fisher Island Outside,FI55,Pstr,RK_NSF_Sym_FI_3.csv,37.23276983642578,26.65321445465088,NaN,35.78811073303223,NA,0.16020253141342483,NA,0.2942672732543336,1,2,0,2,1.102136869790971,1686.5493042562782,1.751791200347619e-4,Bd,5.925752791209328e-4,-3.227256470245956,B,D,None,25 45.382166 N,80 8.162833 W
