SampleName,Tag ID,Tag Color,Species,Timepoint,...6,Date,Collection Species,Location,Depth,Notes,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.D,B.D,C.D,qpcrRun,Dominant,propD,logPropD,Reef,Latitude,Longitude
123NI,38,Blue,Ppor,Initial,NA,2019-09-26T00:00:00Z,Ppor,RR1,22,NA,RK_NSF_SYM_Initials_12.csv,NaN,32.97239685058594,29.482749786376953,36.35307693481445,NA,NA,0.16001506223124837,0.12050357186404352,0,1,2,2,NaN,31.246930814598667,15.26047214173221,12,C,0.06149882926422032,-1.2111331516868338,Rainbow,25 41.594 N,80 5.832 W
124NI,33,Blue,Ssid,Initial,NA,2019-09-26T00:00:00Z,Ssid,RR1,22,NA,RK_NSF_SYM_Initials_15.csv,NaN,NaN,NaN,31.63743305206299,NA,NA,NA,0.31755256411963234,0,0,0,2,NaN,NaN,NaN,15,D,1,0,Rainbow,25 41.594 N,80 5.832 W
125NI,9,Blue,Ppor,Initial,NA,2019-09-26T00:00:00Z,Ppor,RR1,22,NA,RK_NSF_SYM_Initials_12.csv,NaN,32.998470306396484,29.423898544311523,NaN,NA,NA,0.23150960429724812,NA,0,1,2,0,NaN,NaN,NaN,12,C,0,-7,Rainbow,25 41.594 N,80 5.832 W
126NI,1,Blue,Ppor,Initial,NA,2019-09-26T00:00:00Z,Ppor,RR1,26,NA,RK_NSF_SYM_Initials_12.csv,NaN,NaN,28.164769973754883,37.62035369873047,NA,NA,0.5221003236622794,NA,0,0,2,1,NaN,NaN,91.58149872128422,12,C,0,-7,Rainbow,25 41.594 N,80 5.832 W
127NI,6,Blue,Ofav,Initial,NA,2019-09-26T00:00:00Z,Ofav,RR1,24,NA,RK_NSF_SYM_Initials_14.csv,35.40993200683594,33.060489654541016,NaN,NaN,NA,1.7323393236324756,NA,NA,1,2,0,0,NaN,NaN,NaN,14,B,0,-7,Rainbow,25 41.594 N,80 5.832 W
128NI,22,Blue,Ofav,Initial,NA,2019-09-26T00:00:00Z,Ofav,RR1,22,NA,RK_NSF_SYM_Initials_14.csv,37.03635870361328,NaN,NaN,29.847639083862305,NA,NA,NA,0.006314609431296188,1,0,0,2,0.02056368860562596,NaN,NaN,14,D,1,0,Rainbow,25 41.594 N,80 5.832 W
129NI,18,Blue,Sint,Initial,NA,2019-09-26T00:00:00Z,Sint,RR1,25,NA,RK_NSF_SYM_Initials_13.csv,32.96356474304199,NaN,NaN,NaN,0.28638008061139897,NA,NA,NA,2,0,0,0,NaN,NaN,NaN,13,A,0,-7,Rainbow,25 41.594 N,80 5.832 W
12NI,35,Green,Ofav,Initial,NA,2019-09-15T00:00:00Z,Ofav,EM5,26,NA,RK_NSF_SYM_Initials_6.csv,NaN,NaN,NaN,30.871108055114746,NA,NA,NA,0.048020433319372224,0,0,0,2,NaN,NaN,NaN,6,D,1,0,Emerald,25 40.641 N,80 5.843 W
130NI,10,Blue,Sint,Initial,NA,2019-09-26T00:00:00Z,Sint,RR1,23,NA,RK_NSF_SYM_Initials_20.csv,28.40469061279297,NaN,28.400461044311523,NaN,0.11319362245831406,NA,0.08053622118334484,NA,2,0,2,0,NaN,NaN,NaN,20,C,0,-7,Rainbow,25 41.594 N,80 5.832 W
131NI,39,Blue,Dlab,Initial,NA,2019-09-26T00:00:00Z,Dlab,RR1,23,NA,RK_NSF_SYM_Initials_14.csv,NaN,NaN,NaN,33.100271224975586,NA,NA,NA,0.22008342507855072,0,0,0,2,NaN,NaN,NaN,14,D,1,0,Rainbow,25 41.594 N,80 5.832 W
132NI,41,Blue,Sint,Initial,NA,2019-09-26T00:00:00Z,Sint,RR1,26,NA,RK_NSF_SYM_Initials_13.csv,30.617218841552734,NaN,26.720087852478027,37.07494926452637,0.4009520736034133,NA,0.005015812147584477,0.08327677786091721,2,0,2,2,263.68888021885044,NaN,170.8115779396954,13,C,0.003778020441104963,-2.422735696643123,Rainbow,25 41.594 N,80 5.832 W
133NI,20,Blue,Sbou,Initial,NA,2019-09-26T00:00:00Z,Sbou,RR1,23,NA,RK_NSF_SYM_Initials_13.csv,NaN,30.596086502075195,NaN,NaN,NA,0.11260289222958536,NA,NA,0,2,0,0,NaN,NaN,NaN,13,B,0,-7,Rainbow,25 41.594 N,80 5.832 W
134NI,2,Blue,Ppor,Initial,NA,2019-09-26T00:00:00Z,Ppor,RR1,21,NA,RK_NSF_SYM_Initials_12.csv,NaN,34.3816032409668,27.482770767211914,31.601682662963867,NA,NA,0.13694151713286837,NA,0,1,2,1,NaN,0.4367991405515263,2.266258514696439,12,C,0,-7,Rainbow,25 41.594 N,80 5.832 W
