* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = TAQMAN
* Date Created = 2020-03-10 15:55:38 PM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\Katie\Documents\Shedd Aquarium Coral Research Fellowship\Exumas\Data\qPCR\marinetrip.eds
* Experiment Name = Quantification-TaqMan
* Experiment Run End Time = 2020-03-10 14:30:33 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	EXPFAIL	HIGHSD	NOAMP
25	C1	false	EX0278	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
26	C2	false	EX0278	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
27	C3	false	EX0278	C	UNKNOWN	VIC	NFQ-MGB	26.512	26.495	0.024								false	0.010	true	3	24	Amp		N	N	N
27	C3	false	EX0278	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
28	C4	false	EX0298	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	7	No Amp		N	N	N
29	C5	false	EX0298	B	UNKNOWN	FAM	NFQ-MGB	31.846	31.988	0.202								false	0.010	true	3	31	Amp		N	N	N
30	C6	false	EX0298	C	UNKNOWN	VIC	NFQ-MGB	29.381	29.084	0.420								false	0.010	true	3	28	Amp		N	N	N
30	C6	false	EX0298	D	UNKNOWN	FAM	NFQ-MGB	27.203	27.424	0.312								false	0.010	true	3	27	Amp		N	N	N
31	C7	false	EX0518	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
32	C8	false	EX0518	B	UNKNOWN	FAM	NFQ-MGB	30.867	30.728	0.196								false	0.010	true	3	29	Amp		N	N	N
33	C9	false	EX0518	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
33	C9	false	EX0518	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
34	C10	false	EX0559	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N
35	C11	false	EX0559	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
36	C12	false	EX0559	C	UNKNOWN	VIC	NFQ-MGB	26.224	26.611	0.548								false	0.010	true	3	25	Amp		N	Y	N
36	C12	false	EX0559	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
37	D1	false	EX0278	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	20	No Amp		N	N	N
38	D2	false	EX0278	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
39	D3	false	EX0278	C	UNKNOWN	VIC	NFQ-MGB	26.478	26.495	0.024								false	0.010	true	3	25	Amp		N	N	N
39	D3	false	EX0278	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
40	D4	false	EX0298	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	19	No Amp		N	N	N
41	D5	false	EX0298	B	UNKNOWN	FAM	NFQ-MGB	32.131	31.988	0.202								false	0.010	true	3	31	Amp		N	N	N
42	D6	false	EX0298	C	UNKNOWN	VIC	NFQ-MGB	28.788	29.084	0.420								false	0.010	true	3	27	Amp		N	N	N
42	D6	false	EX0298	D	UNKNOWN	FAM	NFQ-MGB	27.645	27.424	0.312								false	0.010	true	3	26	Amp		N	N	N
43	D7	false	EX0518	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	17	No Amp		N	N	N
44	D8	false	EX0518	B	UNKNOWN	FAM	NFQ-MGB	30.590	30.728	0.196								false	0.010	true	3	29	Amp		N	N	N
45	D9	false	EX0518	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
45	D9	false	EX0518	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	Y
