Sample.Name,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.D,B.D,C.D,Date,Dive Site,Coordinates,Depth (ft),Species,Underwater Tag,Tag,Split,Notes,Location
226,FDEP_DRTO_Colonies_Plate2_ABCD.csv,35.9270428314209,26.54783821105957,NaN,NaN,0.4841101659389238,0.2120397833339436,NA,NA,2,2,0,0,NaN,NaN,NaN,2020-01-28,Site 2,"24º35'.608, 82º58'.862",54,MMEA,MMEA 9,77 ORANGE,YES,NA,Dry Tortugas
227,FDEP_DRTO_Colonies_Plate2_ABCD.csv,NaN,NaN,22.986728515625,NaN,NA,NA,0.08872282503810089,NA,0,0,2,0,NaN,NaN,NaN,2020-01-28,Site 2,"24º35'.608, 82º58'.862",54,OFAV,OFAV 9,78 ORANGE,YES,NA,Dry Tortugas
228,FDEP_DRTO_Colonies_Plate2_ABCD.csv,NaN,NaN,23.169877853393555,27.81089496612549,NA,NA,0.04151295990929019,0.19927164845865933,0,0,2,2,NaN,NaN,3.254458815634641,2020-01-28,Site 2,"24º35'.608, 82º58'.862",52,OFAV,OFAV 6,63 ORANGE,YES,NA,Dry Tortugas
229,FDEP_DRTO_Colonies_Plate2_ABCD.csv,NaN,NaN,23.247322883605957,25.798287391662598,NA,NA,0.1183362123262193,0.17791634608037146,0,0,2,2,NaN,NaN,0.7643816514272679,2020-01-28,Site 2,"24º35'.608, 82º58'.862",52,OFAV,OFAV 2,79 ORANGE,YES,NA,Dry Tortugas
230,FDEP_DRTO_Colonies_Plate2_ABCD.csv,37.29980551147461,26.314236640930176,34.12826522827149,NaN,NA,0.20371156606819096,NA,NA,1,2,1,0,NaN,NaN,NaN,2020-01-28,Site 2,"24º35'.608, 82º58'.862",51,PSTR,PSTR 3,80 ORANGE,NO,NA,Dry Tortugas
231,FDEP_DRTO_Colonies_Plate2_ABCD.csv,NaN,NaN,34.244026031494144,25.37830352783203,NA,NA,NA,0.5804261672047474,0,0,1,2,NaN,NaN,2.7960505054522457e-4,2020-01-28,Site 3,"24º35.000, 82º58'.236",47,DLAB,DLAB 5,61 ORANGE,NO,NA,Dry Tortugas
232,FDEP_DRTO_Colonies_Plate2_ABCD.csv,NaN,27.943923950195312,NaN,NaN,NA,0.012386453015169625,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-28,Site 3,"24º35.000, 82º58'.236",46,MMEA,MMEA 6,62 ORANGE,YES,NA,Dry Tortugas
233,FDEP_DRTO_Colonies_Plate2_ABCD.csv,NaN,25.932228088378906,NaN,NaN,NA,0.062342269618162104,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-28,Site 3,"24º35.000, 82º58'.236",48,PSTR,PSTR 23,60 ORANGE,NO,NA,Dry Tortugas
234,FDEP_DRTO_Colonies_Plate2_ABCD.csv,NaN,26.851717948913574,NaN,NaN,NA,0.2762149351001475,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-28,Site 3,"24º35.000, 82º58'.236",47,PSTR,PSTR 21,91 ORANGE,NO,NA,Dry Tortugas
235,FDEP_DRTO_Colonies_Plate2_ABCD.csv,NaN,24.38088035583496,NaN,35.03011703491211,NA,0.07870738513276013,NA,NA,0,2,0,1,NaN,4817.934883778468,NaN,2020-01-28,Site 3,"24º35.000, 82º58'.236",45,PSTR,PSTR 9,90 ORANGE,NO,NA,Dry Tortugas
236,FDEP_DRTO_Colonies_Plate2_ABCD.csv,NaN,28.262598037719727,33.86396392822266,24.99915313720703,NA,0.935255427196143,NA,0.17122275218726532,0,2,1,2,NaN,0.3124110960145078,2.7978180309420854e-4,2020-01-28,Site 3,"24º35.000, 82º58'.236",45,DLAB,DLAB 3,92 ORANGE,YES,NA,Dry Tortugas
237,FDEP_DRTO_Colonies_Plate2_ABCD.csv,NaN,NaN,21.850025024414062,NaN,NA,NA,0.037693443909838927,NA,0,0,2,0,NaN,NaN,NaN,2020-01-28,Site 3,"24º35.000, 82º58'.236",50,OFAV,OFAV 13,89 ORANGE,YES,NA,Dry Tortugas
NTC,FDEP_DRTO_Colonies_Plate2_ABCD.csv,NaN,NaN,33.68601211547852,NaN,NA,NA,NA,NA,0,0,1,0,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry Tortugas
+,FDEP_DRTO_Colonies_Plate3_ABCD.csv,14.950968612670898,10.213622093200684,10.962583866119385,13.075778484344482,0.26298149901730294,0.5292659622587076,0.2238105551860661,0.2370736626502623,2,2,2,2,0.8177730206149275,21.813039245440287,0.564323824313964,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry Tortugas
238,FDEP_DRTO_Colonies_Plate3_ABCD.csv,NaN,21.952613830566406,NaN,NaN,NA,0.41329806564401245,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-28,Site 3,"24º35.000, 82º58'.236",50,CNAT,CNAT 6,93 ORANGE,YES,NA,Dry Tortugas
239,FDEP_DRTO_Colonies_Plate3_ABCD.csv,NaN,NaN,22.17538246154785,35.623451232910156,NA,NA,0.22341201458654708,NA,0,0,2,1,NaN,NaN,1457.6911015048315,2020-01-28,Site 3,"24º35.000, 82º58'.236",48,OFAV,OFAV 1,88 ORANGE,YES,NA,Dry Tortugas
240,FDEP_DRTO_Colonies_Plate3_ABCD.csv,NaN,23.19621181488037,32.27858718872071,NaN,NA,0.04206457786260077,1.9987128010179351,NA,0,2,2,0,NaN,NaN,NaN,2020-01-28,Site 3,"24º35.000, 82º58'.236",56,MMEA,MMEA 23,94 ORANGE,YES,NA,Dry Tortugas
241,FDEP_DRTO_Colonies_Plate3_ABCD.csv,NaN,25.261128425598145,NaN,NaN,NA,0.6108676557724079,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-28,Site 3,"24º35.000, 82º58'.236",52,MMEA,MMEA 22,87 ORANGE,YES,NA,Dry Tortugas
242,FDEP_DRTO_Colonies_Plate3_ABCD.csv,NaN,NaN,22.90241512298584,NaN,NA,NA,0.1057366648449786,NA,0,0,2,0,NaN,NaN,NaN,2020-01-28,Site 3,"24º35.000, 82º58'.236",45,OFAV,OFAV 24,86 ORANGE,YES,NA,Dry Tortugas
243,FDEP_DRTO_Colonies_Plate3_ABCD.csv,NaN,24.386438369750977,NaN,NaN,NA,0.055436929958137225,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-28,Site 3,"24º35.000, 82º58'.236",45,MMEA,MMEA 202,95 ORANGE,YES,NA,Dry Tortugas
244,FDEP_DRTO_Colonies_Plate3_ABCD.csv,NaN,25.781564712524414,NaN,NaN,NA,0.022059323335813848,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-28,Site 3,"24º35.000, 82º58'.236",55,MMEA,MMEA 24,85 ORANGE,YES,NA,Dry Tortugas
245,FDEP_DRTO_Colonies_Plate3_ABCD.csv,NaN,22.384329795837402,NaN,NaN,NA,0.3733887090268648,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-28,Site 3,"24º35.000, 82º58'.236",47,PSTR,PSTR 24,96 ORANGE,NO,NA,Dry Tortugas
246,FDEP_DRTO_Colonies_Plate3_ABCD.csv,NaN,24.431824684143066,NaN,NaN,NA,0.0609409711988719,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-28,Site 3,"24º35.000, 82º58'.236",44,MMEA,MMEA 2,97 ORANGE,YES,NA,Dry Tortugas
247,FDEP_DRTO_Colonies_Plate3_ABCD.csv,NaN,23.757017135620117,NaN,NaN,NA,0.09898103079086441,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-28,Site 3,"24º35.000, 82º58'.236",52,DLAB,DLAB 2,84 ORANGE,YES,NA,Dry Tortugas
248,FDEP_DRTO_Colonies_Plate3_ABCD.csv,NaN,24.085848808288574,NaN,NaN,NA,0.10789188609043168,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-28,Site 3,"24º35.000, 82º58'.236",49,PSTR,PSTR 22,83 ORANGE,NO,NA,Dry Tortugas
249,FDEP_DRTO_Colonies_Plate3_ABCD.csv,NaN,21.693418502807617,33.82546218872071,NaN,NA,0.6196841021313106,NA,NA,0,2,1,0,NaN,NaN,NaN,2020-01-29,Site 4,"24º38'.564, 82º58.161",60,CNAT,CNAT 9,99 ORANGE,YES,NA,Dry Tortugas
250,FDEP_DRTO_Colonies_Plate3_ABCD.csv,NaN,21.539602279663086,34.06664642333985,NaN,NA,0.12761661119353007,NA,NA,0,2,1,0,NaN,NaN,NaN,2020-01-29,Site 4,"24º38'.564, 82º58.161",64,CNAT,CNAT 2,82 ORANGE,YES,NA,Dry Tortugas
251,FDEP_DRTO_Colonies_Plate3_ABCD.csv,NaN,23.908400535583496,NaN,NaN,NA,0.04303024645568237,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-29,Site 4,"24º38'.564, 82º58.161",60,CNAT,CNAT 8,81 ORANGE,YES,NA,Dry Tortugas
NTC,FDEP_DRTO_Colonies_Plate3_ABCD.csv,NaN,NaN,NaN,NaN,NA,NA,NA,NA,0,0,0,0,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry Tortugas
+,FDEP_DRTO_Colonies_Plate4_ABCD.csv,14.647,11.5975,10.8615,13.311,0.0848528137423864,0.0940452018978102,0.17465537495307715,0.1767766952966369,2,2,2,2,1.1883522163874536,9.83866452212845,0.7124696897261419,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry Tortugas
252,FDEP_DRTO_Colonies_Plate4_ABCD.csv,NaN,23.0745,NaN,NaN,NA,0.08273149339882668,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-29,Site 4,"24º38'.564, 82º58.161",64,CNAT,CNAT 5,100 ORANGE,NO,NA,Dry Tortugas
253,FDEP_DRTO_Colonies_Plate4_ABCD.csv,NaN,23.426000000000002,NaN,NaN,NA,0.025455844122714164,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-29,Site 4,"24º38'.564, 82º58.161",60,CNAT,CNAT 10,81 BLUE,YES,NA,Dry Tortugas
254,FDEP_DRTO_Colonies_Plate4_ABCD.csv,NaN,NaN,22.0045,NaN,NA,NA,0.03040559159102102,NA,0,0,2,0,NaN,NaN,NaN,2020-01-29,Site 4,"24º38'.564, 82º58.161",59,OFAV,OFAV 5,93 BLUE,NO,NA,Dry Tortugas
255,FDEP_DRTO_Colonies_Plate4_ABCD.csv,NaN,NaN,20.4865,NaN,NA,NA,0.013435028842543238,NA,0,0,2,0,NaN,NaN,NaN,2020-01-29,Site 4,"24º38'.564, 82º58.161",62,OFAV,OFAV 4,100 BLUE,YES,NA,Dry Tortugas
256,FDEP_DRTO_Colonies_Plate4_ABCD.csv,NaN,NaN,23.046,NaN,NA,NA,0.14707821048680075,NA,0,0,2,0,NaN,NaN,NaN,2020-01-29,Site 4,"24º38'.564, 82º58.161",60,OFAV,OFAV 10,98 BLUE,YES,NA,Dry Tortugas
257,FDEP_DRTO_Colonies_Plate4_ABCD.csv,NaN,NaN,21.571,NaN,NA,NA,0.07495331880577269,NA,0,0,2,0,NaN,NaN,NaN,2020-01-29,Site 4,"24º38'.564, 82º58.161",64,OFAV,OFAV 8,84 BLUE,NO,NA,Dry Tortugas
258,FDEP_DRTO_Colonies_Plate4_ABCD.csv,NaN,NaN,21.462999999999997,NaN,NA,NA,0.04384062043356677,NA,0,0,2,0,NaN,NaN,NaN,2020-01-29,Site 4,"24º38'.564, 82º58.161",60,OFAV,OFAV 11,97 BLUE,NO,NA,Dry Tortugas
259,FDEP_DRTO_Colonies_Plate4_ABCD.csv,NaN,29.894000000000005,34.46600000000001,NaN,NA,0.2262741699796954,0.16263455967290372,NA,0,2,2,0,NaN,NaN,NaN,2020-01-29,Site 4,"24º38'.564, 82º58.161",50,MMEA,MMEA 1,95 BLUE,YES,NA,Dry Tortugas
260,FDEP_DRTO_Colonies_Plate4_ABCD.csv,NaN,25.325499999999998,NaN,NaN,NA,0.11242997820866281,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-29,Site 5,"24º36'.316, 82º58'.148",46,PSTR,PSTR 6,92 BLUE,NO,NA,Dry Tortugas
261,FDEP_DRTO_Colonies_Plate4_ABCD.csv,NaN,24.051000000000002,NaN,NaN,NA,0.04808326112068622,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-29,Site 5,"24º36'.316, 82º58'.148",49,PSTR,PSTR 11,52 BLUE,NO,NA,Dry Tortugas
262,FDEP_DRTO_Colonies_Plate4_ABCD.csv,NaN,24.582,NaN,NaN,NA,0.19091883092036754,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-29,Site 5,"24º36'.316, 82º58'.148",48,PSTR,PST 7,2 BLUE,NO,NA,Dry Tortugas
263,FDEP_DRTO_Colonies_Plate4_ABCD.csv,NaN,23.784,NaN,NaN,NA,0.13435028842544494,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-29,Site 5,"24º36'.316, 82º58'.148",46,PSTR,PSTR 10,89 BLUE,NO,NA,Dry Tortugas
264,FDEP_DRTO_Colonies_Plate4_ABCD.csv,NaN,26.384500000000003,NaN,NaN,NA,0.3132483040656415,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-29,Site 5,"24º36'.316, 82º58'.148",47,MMEA,MMEA 25,85 BLUE,NO,NA,Dry Tortugas
265,FDEP_DRTO_Colonies_Plate4_ABCD.csv,NaN,NaN,NaN,27.11,NA,NA,NA,0.11879393923933947,0,0,0,2,NaN,NaN,NaN,2020-01-29,Site 5,"24º36'.316, 82º58'.148",48,DLAB,DLAB 8,87 BLUE,NO,NA,Dry Tortugas
NTC,FDEP_DRTO_Colonies_Plate4_ABCD.csv,NaN,NaN,NaN,NaN,NA,NA,NA,NA,0,0,0,0,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry Tortugas
+,FDEP_DRTO_Colonies_Plate5_ABCD.csv,14.4205,11.305499999999999,11.465,13.15,0.006363961030679169,0.40375797205751845,0.871155554421826,0.22203152929257597,2,2,2,2,1.2435482630435106,10.77385389426586,0.41940051690947044,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry Tortugas
266,FDEP_DRTO_Colonies_Plate5_ABCD.csv,NaN,NaN,25.406000000000002,24.923000000000002,NA,NA,0.12445079348883122,0.05515432893255029,0,0,2,2,NaN,NaN,0.09332455565366816,2020-01-29,Site 5,"24º36'.316, 82º58'.148",48,OFAV,OFAV 15,86 BLUE,NO,NA,Dry Tortugas
267,FDEP_DRTO_Colonies_Plate5_ABCD.csv,NaN,23.055,NaN,NaN,NA,0.09050966799187816,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-29,Site 5,"24º36'.316, 82º58'.148",47,CNAT,CNAT 7,70 BLUE,YES,NA,Dry Tortugas
268,FDEP_DRTO_Colonies_Plate5_ABCD.csv,NaN,25.810000000000002,NaN,NaN,NA,0.21213203435596475,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-29,Site 6,"24º 36.619, 83º 03.533",46,PSTR,PSTR 13,69 BLUE,NO,NA,Dry Tortugas
269,FDEP_DRTO_Colonies_Plate5_ABCD.csv,NaN,NaN,22.406499999999998,32.1655,NA,NA,0.05020458146424594,0.49285342648702557,0,0,2,2,NaN,NaN,113.017356902439,2020-01-29,Site 6,"24º 36.619, 83º 03.533",47,OFAV,OFAV 14,100 YELLOW,NO,NA,Dry Tortugas
270,FDEP_DRTO_Colonies_Plate5_ABCD.csv,NaN,23.778,34.824,NaN,NA,0.02969848480983361,NA,NA,0,2,1,0,NaN,NaN,NaN,2020-01-29,Site 6,"24º 36.619, 83º 03.533",42,CNAT,CNAT 13,98 YELLOW,NO,NA,Dry Tortugas
271,FDEP_DRTO_Colonies_Plate5_ABCD.csv,NaN,24.051000000000002,NaN,NaN,NA,0.024041630560344366,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-29,Site 6,"24º 36.619, 83º 03.533",47,CNAT,CNAT 15,97 YELLOW,NO,NA,Dry Tortugas
272,FDEP_DRTO_Colonies_Plate5_ABCD.csv,NaN,24.8445,NaN,NaN,NA,7.071067811848996e-4,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-29,Site 6,"24º 36.619, 83º 03.533",46,CNAT,CNAT 4,96 YELLOW,YES,NA,Dry Tortugas
273,FDEP_DRTO_Colonies_Plate5_ABCD.csv,NaN,22.6415,NaN,NaN,NA,0.1039446968344214,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-29,Site 6,"24º 36.619, 83º 03.533",55,CNAT,CNAT 14,84 YELLOW,NO,NA,Dry Tortugas
274,FDEP_DRTO_Colonies_Plate5_ABCD.csv,NaN,31.429000000000002,NaN,28.8205,NA,NA,NA,0.10535891039679623,0,1,0,2,NaN,0.4919087083590475,NaN,2020-01-29,Site 6,"24º 36.619, 83º 03.533",46,DLAB,DLAB 8,99 BLUE,NO,NA,Dry Tortugas
275,FDEP_DRTO_Colonies_Plate5_ABCD.csv,NaN,24.0465,NaN,NaN,NA,0.0940452018978102,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-29,Site 6,"24º 36.619, 83º 03.533",46,DLAB,DLAB 11,72 YELLOW,NO,NA,Dry Tortugas
276,FDEP_DRTO_Colonies_Plate5_ABCD.csv,39.193,25.6725,NaN,31.339,NA,0.08555992052357382,NA,0.2347594513539343,1,2,0,2,0.012966765856550072,152.37289716478597,NaN,2020-01-29,Site 6,"24º 36.619, 83º 03.533",46,DLAB,DLAB 10,71 YELLOW,YES,NA,Dry Tortugas
277,FDEP_DRTO_Colonies_Plate5_ABCD.csv,NaN,25.0955,33.254000000000005,NaN,NA,0.040305086527632226,NA,NA,0,2,1,0,NaN,NaN,NaN,2020-01-29,Site 6,"24º 36.619, 83º 03.533",43,DLAB,DLAB 12,95 YELLOW,NO,NA,Dry Tortugas
278,FDEP_DRTO_Colonies_Plate5_ABCD.csv,NaN,24.429000000000002,NaN,NaN,NA,0.0028284271247471346,NA,NA,0,2,0,0,NaN,NaN,NaN,2020-01-29,Site 6,"24º 36.619, 83º 03.533",47,DLAB,DLAB 14,93 YELLOW,NO,NA,Dry Tortugas
NEC,FDEP_DRTO_Colonies_Plate5_ABCD.csv,NaN,NaN,NaN,NaN,NA,NA,NA,NA,0,0,0,0,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry Tortugas
NTC,FDEP_DRTO_Colonies_Plate5_ABCD.csv,NaN,NaN,NaN,NaN,NA,NA,NA,NA,0,0,0,0,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry Tortugas
