* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-08-04 10:39:06 AM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\Katie\Documents\Shedd Aquarium Coral Research Fellowship\Exuma\qPCR\20190801_KP_01.eds
* Experiment Name = Power_UP_SYBR
* Experiment Run End Time = 2019-08-01 11:26:33 AM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	PRFLOW	NOISE	HIGHSD	SPIKE	DRNMIN	NOAMP	BADROX	PRFDROP	Tm1	Tm2	Tm3	Tm4
26	C2	false	EX0134	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	28	No Amp		0.000	Y	N	N	N	N	N	N	Y	N	N				
27	C3	false	EX0136	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
28	C4	false	EX0138	B	UNKNOWN	FAM	NFQ-MGB	31.286	30.144	1.615								false	0.010	true	3	30	Amp		0.907	N	N	N	N	Y	N	N	N	N	N				
29	C5	false	EX0139	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	20	No Amp		0.000	Y	N	N	N	N	N	N	Y	N	N				
30	C6	false	EX0141	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	18	No Amp		0.000	Y	N	N	N	N	N	N	Y	N	N				
31	C7	false	EX0145	B	UNKNOWN	FAM	NFQ-MGB	31.212	31.174	0.054								false	0.010	true	3	30	Amp		0.921	N	N	N	N	N	N	N	N	N	N				
32	C8	false	EX0146	B	UNKNOWN	FAM	NFQ-MGB	32.094	32.012	0.116								false	0.010	true	3	31	Amp		0.896	N	N	N	N	N	N	N	N	N	N				
33	C9	false	EX0147	B	UNKNOWN	FAM	NFQ-MGB	11.112	10.165	1.339								false	0.010	true	3	7	No Amp		0.285	Y	N	N	N	Y	N	Y	Y	N	N				
34	C10	false	NEC2	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
35	C11	false	PTC	B	UNKNOWN	FAM	NFQ-MGB	31.382	32.372	1.400								false	0.010	true	3	30	Amp		0.934	N	N	N	N	Y	N	N	N	N	N				
36	C12	false	NTC	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
37	D1	false	EX0132	B	UNKNOWN	FAM	NFQ-MGB	30.003	30.487	0.685								false	0.010	true	3	29	Amp		0.939	N	N	N	N	Y	N	N	N	N	N				
38	D2	false	EX0134	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
39	D3	false	EX0136	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	30	No Amp		0.000	Y	N	N	N	N	N	N	Y	N	N				
40	D4	false	EX0138	B	UNKNOWN	FAM	NFQ-MGB	29.002	30.144	1.615								false	0.010	true	3	28	Amp		0.909	N	N	N	N	Y	N	N	N	N	N				
41	D5	false	EX0139	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
42	D6	false	EX0141	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
43	D7	false	EX0145	B	UNKNOWN	FAM	NFQ-MGB	31.136	31.174	0.054								false	0.010	true	3	29	Amp		0.898	N	N	N	N	N	N	N	N	N	N				
44	D8	false	EX0146	B	UNKNOWN	FAM	NFQ-MGB	31.930	32.012	0.116								false	0.010	true	3	30	Amp		0.844	N	N	N	N	N	N	N	N	N	N				
45	D9	false	EX0147	B	UNKNOWN	FAM	NFQ-MGB	9.218	10.165	1.339								false	0.010	true	3	7	No Amp		0.000	Y	N	N	N	Y	N	Y	Y	N	N				
46	D10	false	NEC2	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
47	D11	false	PTC	B	UNKNOWN	FAM	NFQ-MGB	33.361	32.372	1.400								false	0.010	true	3	32	Amp		0.840	N	N	N	N	Y	N	N	N	N	N				
48	D12	false	NTC	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
49	E1	false	EX0132	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
49	E1	false	EX0132	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
50	E2	false	EX0134	C	UNKNOWN	VIC	NFQ-MGB	25.098	24.838	0.367								false	0.010	true	3	23	Amp		0.877	N	N	N	N	N	N	N	N	N	N				
50	E2	false	EX0134	D	UNKNOWN	FAM	NFQ-MGB	28.903	28.321	0.823								false	0.010	true	3	27	Amp		0.519	Y	N	N	N	Y	N	N	N	N	N				
51	E3	false	EX0136	C	UNKNOWN	VIC	NFQ-MGB	22.806	22.902	0.137								false	0.010	true	3	22	Amp		0.934	N	N	N	N	N	N	N	N	N	N				
51	E3	false	EX0136	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
52	E4	false	EX0138	C	UNKNOWN	VIC	NFQ-MGB	31.628	31.299	0.465								false	0.010	true	3	30	Amp		0.899	N	N	N	N	N	N	N	N	N	N				
52	E4	false	EX0138	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	33	No Amp		0.000	Y	N	N	N	N	N	N	Y	N	N				
53	E5	false	EX0139	C	UNKNOWN	VIC	NFQ-MGB	23.241	23.069	0.243								false	0.010	true	3	22	Amp		0.919	N	N	N	N	N	N	N	N	N	N				
53	E5	false	EX0139	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
54	E6	false	EX0141	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
54	E6	false	EX0141	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
55	E7	false	EX0145	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
55	E7	false	EX0145	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	21	No Amp		0.000	Y	N	N	N	N	N	N	N	N	N				
56	E8	false	EX0146	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	Y	N	N				
56	E8	false	EX0146	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N	N	N	N				
