* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-08-04 11:28:48 AM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\Katie\Documents\Shedd Aquarium Coral Research Fellowship\Exuma\qPCR\20190715_KP_02.eds
* Experiment Name = Power_UP_SYBR
* Experiment Run End Time = 2019-07-15 15:06:37 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	PRFLOW	NOISE	HIGHSD	DRNMIN	NOAMP	Tm1	Tm2	Tm3	Tm4
27	C3	false	EX0066	B	UNKNOWN	FAM	NFQ-MGB	30.121	30.134	0.018								false	0.010	true	3	29	Amp		0.916	N	N	N	N	N	N	N				
28	C4	false	EX0067	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y				
29	C5	false	EX0114	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y				
30	C6	false	EX0117	B	UNKNOWN	FAM	NFQ-MGB	34.077	34.090	0.017								false	0.010	true	3	32	Amp		0.824	N	N	N	N	N	N	N				
31	C7	false	EX0119	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y				
32	C8	false	EX0125	B	UNKNOWN	FAM	NFQ-MGB	29.654	29.687	0.047								false	0.010	true	3	28	Amp		0.907	N	N	N	N	N	N	N				
33	C9	false	EX0129	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y				
34	C10	false	EX0130	B	UNKNOWN	FAM	NFQ-MGB	29.824	29.760	0.090								false	0.010	true	3	29	Amp		0.911	N	N	N	N	N	N	N				
35	C11	false	PTC	B	UNKNOWN	FAM	NFQ-MGB	30.735	29.951	1.109								false	0.010	true	3	30	Amp		0.911	N	N	N	N	Y	N	N				
36	C12	false	NTC	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y				
37	D1	false	EX0062	B	UNKNOWN	FAM	NFQ-MGB	30.222	29.866	0.504								false	0.010	true	3	29	Amp		0.915	N	N	N	N	Y	N	N				
38	D2	false	EX0065	B	UNKNOWN	FAM	NFQ-MGB	39.176	39.176									false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y				
39	D3	false	EX0066	B	UNKNOWN	FAM	NFQ-MGB	30.147	30.134	0.018								false	0.010	true	3	29	Amp		0.908	N	N	N	N	N	N	N				
40	D4	false	EX0067	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y				
